stage	command	start_epoch	end_epoch	elapsed_sec	real_sec	user_sec	sys_sec	max_rss_kb	exit_code
stage0	prepare_nature_nc_2024_candidates	1775810058	1775810063	5	5.41	8.11	0.84	590820	0
stage1	classify_nature_nc_2024_candidates	1775810063	1775810959	896	895.91	36.97	3.53	817708	0
stage0	prepare_nature_nc_2024_candidates	1775820151	1775820157	6	5.61	5.25	0.81	590600	0
stage0	prepare_nature_nc_2024_candidates	1775913671	1775913677	6	5.79	8.58	0.84	591420	0
stage1	classify_nature_nc_2024_candidates	1775913677	1775916083	2406	2405.31	56.83	5.74	809048	0
stage2	extract_nature_nc_2024_crossdisc	1775916083	1775923162	7079	7079.54	4143.51	560.41	3735624	0
stage3	build_nature_nc_2024_gt_dataset	1775923162	1775924439	1277	1276.46	1130.51	77.91	131712	0
